Player,Id,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS36M,OFFR,OFFR36M,DEFR,DEFR36M,OFFDEFRATE,ASTPERD,BLKPF,RATE,RATETOT,FGA20P,MP10R,MP10A,MP20P
Malik Fitts,fittsma01,PF,23,LAC,3,0,3.7,0.3,1.0,0.33299999999999996,0.3,0.7,0.5,0.0,0.3,0.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.7,0.3,2.9,0.0,0.0,2.9,,0.0,0.3,1.0,20.0,37.0,inf,74.0
Malachi Flynn,flynnma01,PG,22,TOR,47,14,19.7,2.7,7.2,0.374,1.1,3.6,0.321,1.6,3.7,0.424,0.45299999999999996,1.0,1.2,0.804,0.2,2.3,2.5,2.9,0.8,0.1,0.9,1.4,7.5,13.7,5.2,9.5,1.8,3.3,12.8,3.2,0.1,6.8,320.0,19.2,78.8,67.9,52.5
Bryn Forbes,forbebr01,SG,27,MIL,70,10,19.3,3.6,7.6,0.473,2.2,4.9,0.452,1.4,2.7,0.511,0.618,0.7,0.9,0.77,0.2,1.4,1.6,0.6,0.3,0.0,0.6,1.1,10.0,18.7,6.2,11.6,0.6,1.1,12.7,1.0,0.0,6.6,462.0,15.2,120.6,321.7,38.6
Trent Forrest,forretr01,PG,22,UTA,30,0,10.1,1.1,2.4,0.451,0.2,0.9,0.192,0.9,1.5,0.6,0.486,0.6,0.6,1.0,0.4,1.1,1.5,1.5,0.3,0.1,0.7,0.7,2.9,10.3,2.8,10.0,0.8,2.9,12.9,2.1,0.1,3.6,108.0,16.6,67.3,67.3,69.7
Evan Fournier,fournev01,SF-SG,28,TOT,42,36,30.0,5.9,12.9,0.457,2.8,6.7,0.413,3.1,6.1,0.504,0.565,2.6,3.3,0.7879999999999999,0.2,2.8,3.0,3.4,1.1,0.5,1.7,2.3,17.1,20.5,12.0,14.4,2.1,2.5,16.9,2.0,0.2,13.4,563.0,15.1,100.0,88.2,35.1
Evan Fournier,fournev01,SF,28,ORL,26,26,30.3,6.5,14.2,0.461,2.8,7.2,0.38799999999999996,3.7,7.0,0.536,0.56,3.8,4.7,0.797,0.2,2.7,2.9,3.7,1.0,0.3,2.1,2.1,19.7,23.4,13.8,16.4,1.9,2.3,18.7,1.8,0.1,14.8,385.0,14.4,104.5,81.9,30.8
Evan Fournier,fournev01,SG,28,BOS,16,10,29.5,4.8,10.8,0.44799999999999995,2.8,5.9,0.46299999999999997,2.1,4.8,0.429,0.5760000000000001,0.6,0.9,0.7140000000000001,0.3,3.0,3.3,3.1,1.3,0.6,1.2,2.6,13.0,15.9,9.2,11.2,2.3,2.8,14.0,2.6,0.2,11.2,179.0,16.6,89.4,95.2,45.4
De'Aaron Fox,foxde01,PG,23,SAC,58,58,35.1,9.1,19.1,0.47700000000000004,1.8,5.5,0.322,7.3,13.6,0.539,0.523,5.2,7.2,0.7190000000000001,0.6,2.9,3.5,7.2,1.5,0.5,3.0,2.9,25.2,25.8,20.0,20.5,2.0,2.1,22.6,2.4,0.2,20.0,1160.0,15.2,100.3,48.8,27.9
Robert Franks,frankro01,PF,24,ORL,7,0,14.4,1.9,4.0,0.46399999999999997,0.7,2.1,0.33299999999999996,1.1,1.9,0.615,0.5539999999999999,1.7,1.9,0.9229999999999999,0.9,1.1,2.0,0.7,0.4,0.4,0.3,1.1,6.1,15.2,5.3,13.2,0.8,2.0,15.2,2.3,0.4,5.9,41.0,13.1,72.0,205.7,47.2
Tim Frazier,fraziti01,PG,30,MEM,5,0,12.4,0.6,4.0,0.15,0.0,1.6,0.0,0.6,2.4,0.25,0.15,0.4,1.2,0.33299999999999996,0.0,1.6,1.6,3.2,0.4,0.2,0.8,1.4,1.6,4.6,0.6,1.7,0.8,2.3,4.0,4.0,0.1,0.6,3.0,50.0,77.5,38.8,155.0
Markelle Fultz,fultzma01,PG,22,ORL,8,8,26.9,5.1,13.0,0.39399999999999996,0.5,2.0,0.25,4.6,11.0,0.42,0.413,2.1,2.4,0.895,0.6,2.5,3.1,5.4,1.0,0.3,2.3,2.3,12.9,17.3,8.7,11.6,1.5,2.0,13.6,2.3,0.1,9.9,79.0,20.2,86.8,49.8,41.7
Wenyen Gabriel,gabriwe01,PF,23,NOP,21,0,11.5,1.1,2.9,0.4,0.6,1.5,0.406,0.5,1.3,0.39299999999999996,0.508,0.5,0.8,0.647,1.0,1.6,2.6,0.5,0.4,0.4,0.7,1.5,3.4,10.6,2.4,7.5,0.9,2.8,10.3,0.7,0.3,3.0,63.0,17.1,44.2,230.0,67.6
Daniel Gafford,gaffoda01,PF-C,22,TOT,54,11,14.6,2.9,4.2,0.684,0.0,0.0,,2.9,4.2,0.684,0.684,1.3,2.0,0.667,1.7,2.5,4.3,0.5,0.5,1.4,0.8,1.8,7.0,17.3,7.1,17.5,2.6,6.4,23.9,0.6,0.8,9.1,491.0,12.0,34.0,292.0,41.7
